Model,Dataset,Accuracy,F1,Precision,Recall,Loss
DISTILBERT,SST2,0.8807339449541285,0.8801761530300194,0.8833935089276905,0.8807339449541285,0.35819628834724426
DISTILBERT,IMDB,0.93152,0.9315115310994712,0.9317335430088826,0.93152,0.28846684098243713
TINYBERT,SST2,0.8922018348623854,0.8922784222491367,0.8944674158908776,0.8922018348623854,0.2791345417499542
TINYBERT,IMDB,0.88644,0.8864350531109135,0.8865073450397997,0.88644,0.2997991442680359
ALBERT,SST2,0.9174311926605505,0.9174085256877827,0.9174246019192239,0.9174311926605505,0.23764406144618988
ALBERT,IMDB,0.94416,0.9441548533112812,0.9443237955239819,0.94416,0.26667940616607666
